state,latitude,longitude,date,rainfall_mm,river_level_mm,floodrisk
Odisha,19.8041,83.6131,11/06/2024,23.3,4145,
West Bengal,22.564,89.7685,22/09/2024,98,4377,
Odisha,19.6091,83.1708,15/08/2024,0,3839,
Gujarat,23.583,71.64,27/07/2024,16.9,3651,
Gujarat,22.7083,71.8517,23/06/2024,86.2,4652,
Uttar Pradesh,27.0459,81.0916,16/11/2024,0,3953,
Bihar,24.8503,85.5679,26/07/2024,93.2,4636,
Kerala,8.7395,76.6862,16/07/2024,57.2,4132,
Assam,27.3365,91.1303,16/10/2024,7.8,3909,
Tamil Nadu,10.2104,77.6802,26/06/2024,57.2,3844,
Bihar,26.8615,84.9668,01/09/2024,0,3657,
Karnataka,15.655,74.269,27/08/2024,90.6,4078,
Tamil Nadu,9.8287,78.5451,04/08/2024,71.4,3693,
Odisha,20.3932,85.0913,29/07/2024,61.3,4410,
Maharashtra,19.7664,76.651,30/10/2024,3.3,3672,
Odisha,21.9772,83.8766,15/08/2024,0,3475,
Kerala,9.0016,75.842,29/09/2024,79.8,4248,
Bihar,26.6794,85.8047,03/10/2024,1.4,3913,
Bihar,24.774,84.2587,06/11/2024,1.7,4263,
Uttar Pradesh,25.4745,81.0185,27/08/2024,37.8,4242,
Karnataka,16.4129,75.1873,11/10/2024,33.6,3392,
Gujarat,23.2082,71.79,31/07/2024,43.6,4355,
West Bengal,24.0629,88.1061,24/07/2024,54.2,4890,
Gujarat,21.1986,72.1122,23/11/2024,27.5,3661,
Odisha,21.4787,84.2533,01/09/2024,34.3,3960,
Odisha,21.1266,84.7644,30/09/2024,53.7,4939,
Tamil Nadu,9.7013,78.7998,23/10/2024,0,3296,
Karnataka,16.4506,76.438,17/11/2024,0,3214,
West Bengal,21.9957,87.724,25/10/2024,4.3,3866,
Gujarat,23.7448,70.8274,17/08/2024,36.4,3953,
Gujarat,22.899,70.8453,17/10/2024,0,3405,
Kerala,9.5485,77.5479,28/09/2024,52.2,3895,
Gujarat,21.5207,71.3159,09/07/2024,122.1,5104,
Karnataka,14.2054,74.9143,20/07/2024,83.2,4213,
Tamil Nadu,11.018,79.3343,17/11/2024,14.3,3322,
Maharashtra,19.6896,76.6638,11/11/2024,24.1,3472,
Tamil Nadu,9.9748,78.5739,11/08/2024,88.6,3561,
Gujarat,21.0745,72.6881,13/06/2024,108.6,4608,
Uttar Pradesh,27.7407,80.0019,05/07/2024,13.4,3965,
Bihar,24.6678,86.7857,02/09/2024,149.9,5833,
Karnataka,14.3296,75.706,29/10/2024,18.8,3456,
Uttar Pradesh,27.6581,81.6421,13/09/2024,122.2,4964,
Kerala,9.3054,77.9593,30/09/2024,74,4197,
Gujarat,22.5523,72.5845,11/08/2024,84.7,3977,
Uttar Pradesh,26.0321,81.8018,09/07/2024,83.6,4060,
Bihar,26.0169,86.1038,10/08/2024,89.1,4543,
Bihar,24.4433,86.7587,15/08/2024,67,4904,
Karnataka,14.0618,74.9744,30/06/2024,59.4,3611,
Odisha,21.7633,85.0223,10/09/2024,62.9,4238,
West Bengal,21.5568,88.2407,25/09/2024,89.6,4758,
Uttar Pradesh,27.1014,80.966,14/06/2024,60.3,4446,
Karnataka,15.0243,76.3183,03/06/2024,46.2,3325,
Uttar Pradesh,26.4317,80.549,19/11/2024,0,3677,
Uttar Pradesh,25.3661,82.1803,08/09/2024,34.7,4366,
Assam,26.9133,92.1713,14/09/2024,62.9,4661,
Bihar,24.9301,86.7516,07/11/2024,55.6,4796,
Kerala,10.8956,76.5707,07/07/2024,36.7,4325,
Assam,24.9601,92.5474,21/11/2024,0,4234,
Assam,27.3427,91.1789,04/09/2024,66.8,5143,
Karnataka,16.1191,74.3412,06/09/2024,41.1,3546,
Kerala,10.1912,77.4115,16/11/2024,1.5,3652,
Bihar,26.4446,86.2199,15/08/2024,46.3,3940,
West Bengal,22.6365,88.7029,12/11/2024,0.9,3545,
Kerala,10.457,76.191,20/08/2024,65.5,4198,
Maharashtra,20.1672,75.2713,06/07/2024,85.1,4136,
Assam,27.2423,92.5476,19/09/2024,37.6,4605,
Uttar Pradesh,26.4132,79.6522,10/11/2024,20.7,4092,
Uttar Pradesh,27.4795,80.4078,14/11/2024,9.8,3582,
Bihar,25.949,85.1442,21/07/2024,35.3,4377,
Karnataka,15.0423,75.6349,28/08/2024,10.1,3234,
Bihar,24.4962,84.4016,31/07/2024,6.7,3783,
Gujarat,21.5773,71.1885,28/09/2024,82.5,4276,
Assam,25.4476,92.6072,23/10/2024,36.8,4657,
Gujarat,21.7662,71.5482,06/06/2024,38.6,3583,
West Bengal,22.8651,89.3909,29/09/2024,67.5,4205,
Bihar,26.8029,83.9352,05/09/2024,34,4401,
Kerala,10.2228,77.2646,20/10/2024,1.4,3686,
Kerala,9.0644,77.8551,28/09/2024,112.3,4927,
Gujarat,23.2797,69.7299,12/07/2024,11.9,3673,
Odisha,20.4062,83.3698,18/11/2024,15.1,4047,
Karnataka,15.142,75.8502,04/06/2024,65.4,4184,
Gujarat,21.5464,71.0137,29/06/2024,75.8,4142,
Karnataka,15.9494,74.4437,11/08/2024,41.5,3882,
Odisha,21.0041,84.8814,13/10/2024,19.1,3658,
Assam,27.2179,90.7388,28/10/2024,9.8,4091,
Bihar,24.9815,84.934,23/11/2024,22.6,3837,
Assam,25.1192,91.2083,28/09/2024,87.3,5085,
West Bengal,21.6469,88.6644,23/09/2024,0,3573,
Uttar Pradesh,26.9648,79.8447,24/11/2024,32.9,3674,
Bihar,27.1715,85.1841,05/08/2024,56.8,3983,
West Bengal,23.9082,87.3957,23/11/2024,21.4,3786,
Assam,25.2498,91.139,18/06/2024,86.6,4625,
Maharashtra,20.0352,74.9716,14/08/2024,110.8,4045,
Gujarat,21.229,69.7326,13/07/2024,91.5,4338,
Kerala,10.9646,76.6535,16/09/2024,36.8,3881,
Assam,27.696,92.16,01/10/2024,0,4090,
Bihar,26.7922,83.8807,04/10/2024,18.7,3981,
Maharashtra,19.1373,76.6547,27/11/2024,7.9,3492,
Bihar,26.2017,84.7624,17/11/2024,0,4024,
Bihar,24.4872,86.3694,23/10/2024,0,3786,
Tamil Nadu,9.7419,78.5625,21/09/2024,116.9,3746,
Karnataka,13.8768,74.6636,03/07/2024,46.6,3593,
Karnataka,14.9509,75.4985,14/06/2024,88.1,4543,
Uttar Pradesh,26.6224,81.0859,12/08/2024,92.6,5456,
Assam,25.6983,91.7691,12/06/2024,39.6,4425,
Uttar Pradesh,27.1744,80.7101,09/11/2024,0,3688,
Gujarat,22.7994,71.1284,09/10/2024,8.5,3376,
Odisha,20.0449,84.6749,29/08/2024,75.8,4307,
Tamil Nadu,12.2412,79.3848,16/07/2024,58.8,4008,
Gujarat,21.3445,72.4405,27/11/2024,10.4,3380,
Karnataka,16.045,76.0773,14/07/2024,46.2,3542,
Kerala,10.4867,76.7926,26/06/2024,13.5,3498,
Maharashtra,21.1457,76.8325,03/09/2024,28.5,3630,
Tamil Nadu,10.595,79.5952,31/08/2024,14.4,3216,
Uttar Pradesh,25.7327,79.8738,02/08/2024,14.6,3941,
Kerala,8.6825,76.4897,16/06/2024,3.1,3880,
West Bengal,22.7415,89.8318,18/06/2024,98.5,5254,
Assam,25.9827,92.483,14/08/2024,93.2,5097,
Maharashtra,20.0269,75.5806,08/06/2024,161.2,5305,
West Bengal,22.1143,88.6573,10/06/2024,67.1,4159,
Bihar,25.3238,85.1687,24/08/2024,18.9,3845,
Assam,25.9812,90.5764,29/07/2024,22.3,4375,
Uttar Pradesh,25.436,81.3759,15/09/2024,39.8,3744,
Uttar Pradesh,26.8641,81.7069,26/08/2024,0,3702,
West Bengal,21.5492,88.5086,03/09/2024,83.6,4410,
Gujarat,22.9514,70.1839,31/07/2024,77.7,3579,
